"product_name","product_url","product_in_stock","product_price","product_price_url"
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?keywords=smart+light&qid=1581477706&sr=8-7","In Stock.","$39.99","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?keywords=smart+light&qid=1581477706&sr=8-7"
"Wyze Bulb 800 Lumen A19 LED Smart Home Light Bulb, Adjustable white temperature and brightness, works with Alexa and the Google Assistant, No Hub Required, 4-Pack","https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sr_1_8?keywords=smart+light&qid=1581477706&sr=8-8","In Stock.","$37.98","https://www.amazon.com/Wyze-Adjustable-temperature-brightness-Assistant/dp/B07RF9NCDP/ref=sr_1_8?keywords=smart+light&qid=1581477706&sr=8-8"
"Smart Light Bulb, Works with Alexa, Echo, Google Home and Siri, AL Above Lights Dimmable E26 9W Wi-Fi LED Smart Bulb, Soft White (2700K), 60W Equivalent, 810 LM, RGB+W, ETL Listed - 1 Pack","https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_9?keywords=smart+light&qid=1581477706&sr=8-9","","$13.99","https://www.amazon.com/AL-Above-Lights-Dimmable-Equivalent/dp/B07SN3MZM7/ref=sr_1_9?keywords=smart+light&qid=1581477706&sr=8-9"
"Kasa Smart Light Switch by TP-Link – Needs Neutral Wire, WiFi Light Switch, Works with Alexa & Google (HS200) White 1-Pack","https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sr_1_10?keywords=smart+light&qid=1581477706&sr=8-10","","$19.99","https://www.amazon.com/Kasa-Smart-Light-Switch-TP-Link/dp/B01EZV35QU/ref=sr_1_10?keywords=smart+light&qid=1581477706&sr=8-10"
"Philips Hue White 2-Pack A19 LED Smart Bulb, Bluetooth & Zigbee compatible (Hue Hub Optional), Works with Alexa & Google Assistant – A Certified for Humans Device","https://www.amazon.com/Philips-Hue-Bluetooth-compatible-Assistant/dp/B07R2MQ2PY/ref=sr_1_11?keywords=smart+light&qid=1581477706&sr=8-11","","$29.99","https://www.amazon.com/Philips-Hue-Bluetooth-compatible-Assistant/dp/B07R2MQ2PY/ref=sr_1_11?keywords=smart+light&qid=1581477706&sr=8-11"
"3-way Smart Light Switch, Neutral Wire Required, Treatlife WiFi Light Switch Single Pole/3-way Switch Works With Alexa, Google Assistant, Remote Control, ETL, Schedule, 1 PACK","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V4X7BRT/ref=sr_1_12?keywords=smart+light&qid=1581477706&sr=8-12","","$27.99","https://www.amazon.com/Treatlife-Assistant-Control-Schedule-Required/dp/B07V4X7BRT/ref=sr_1_12?keywords=smart+light&qid=1581477706&sr=8-12"
"Gosund Smart Light Bulb Compatible with Alexa Google Home WiFi A19 E26 LED Dimmable Bulbs No Hub Required 2700K Warm White 8W Lights 75W Equivalent Lighting 2pack","https://www.amazon.com/Gosund-Dimmable-Required-Equivalent-Lighting/dp/B082X4QTKJ/ref=sr_1_13?keywords=smart+light&qid=1581477706&sr=8-13","","$16.99","https://www.amazon.com/Gosund-Dimmable-Required-Equivalent-Lighting/dp/B082X4QTKJ/ref=sr_1_13?keywords=smart+light&qid=1581477706&sr=8-13"
"Smart Light Bulb Compatible with Alexa Google Home, NiteBird A19 E26 Wifi Dimmable Warm White 2700K LED Lights Bulbs, 75W Equivalent, No Hub Required, 4 Pack","https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B081SWYGTT/ref=sr_1_14?keywords=smart+light&qid=1581477706&sr=8-14","","$31.99","https://www.amazon.com/Compatible-NiteBird-Dimmable-Equivalent-Required/dp/B081SWYGTT/ref=sr_1_14?keywords=smart+light&qid=1581477706&sr=8-14"
"Amazon Smart Plug, works with Alexa – A Certified for Humans Device","https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/dp/B01MZEEFNX/ref=sr_1_15?keywords=smart+light&qid=1581477706&sr=8-15","","$24.99","https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/dp/B01MZEEFNX/ref=sr_1_15?keywords=smart+light&qid=1581477706&sr=8-15"
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent) No Hub Required, Wi-Fi, E26 Base (4 Pack)","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VCRJ9ZM/ref=sr_1_16?keywords=smart+light&qid=1581477706&sr=8-16","","$52.99","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VCRJ9ZM/ref=sr_1_16?keywords=smart+light&qid=1581477706&sr=8-16"
